Process_ID,Interval,Ping_S,Ping_E,VL_start,VL_end,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Exclude_below_line_depth_mean,Exclude_below_line_depth_min,Exclude_below_line_depth_max
1251,1,0,0,771.199544,771.199544,20220606, 00:36:39.5786,20220606, 00:36:39.5786,57.33363774,-165.18885562,57.33363774,-165.18885562,76.938044,76.938044,76.938044
1251,2,1,1,771.217245,771.217245,20220606, 00:36:44.5814,20220606, 00:36:44.5814,57.33373284,-165.18938284,57.33373284,-165.18938284,76.969995,76.969995,76.969995
1251,3,2,2,771.235221,771.235221,20220606, 00:36:49.5796,20220606, 00:36:49.5796,57.33382541,-165.18990767,57.33382541,-165.18990767,76.755978,76.755978,76.755978
1251,4,3,3,771.253512,771.253512,20220606, 00:36:54.5812,20220606, 00:36:54.5812,57.33391792,-165.19043733,57.33391792,-165.19043733,77.091943,77.091943,77.091943
1251,5,4,4,771.271189,771.271189,20220606, 00:36:59.5792,20220606, 00:36:59.5792,57.33401691,-165.19095794,57.33401691,-165.19095794,76.953837,76.953837,76.953837
1251,6,5,5,771.289817,771.289817,20220606, 00:37:04.5814,20220606, 00:37:04.5814,57.33412189,-165.19148142,57.33412189,-165.19148142,76.970101,76.970101,76.970101
1251,7,6,6,771.307459,771.307459,20220606, 00:37:09.5788,20220606, 00:37:09.5788,57.33422537,-165.19200555,57.33422537,-165.19200555,77.051971,77.051971,77.051971
1251,8,7,7,771.326117,771.326117,20220606, 00:37:14.5792,20220606, 00:37:14.5792,57.33432866,-165.19252004,57.33432866,-165.19252004,76.862008,76.862008,76.862008
1251,9,8,8,771.343773,771.343773,20220606, 00:37:19.5812,20220606, 00:37:19.5812,57.33442839,-165.19305074,57.33442839,-165.19305074,76.780220,76.780220,76.780220
1251,10,9,9,771.361417,771.361417,20220606, 00:37:24.5788,20220606, 00:37:24.5788,57.33452198,-165.19357000,57.33452198,-165.19357000,76.932017,76.932017,76.932017
1251,11,10,10,771.382742,771.382742,20220606, 00:37:30.3818,20220606, 00:37:30.3818,57.33462818,-165.19418338,57.33462818,-165.19418338,76.924950,76.924950,76.924950
1251,12,11,11,771.401058,771.401058,20220606, 00:37:35.5794,20220606, 00:37:35.5794,57.33472439,-165.19473391,57.33472439,-165.19473391,76.871975,76.871975,76.871975
1251,13,12,12,771.422373,771.422373,20220606, 00:37:41.3816,20220606, 00:37:41.3816,57.33483350,-165.19534168,57.33483350,-165.19534168,76.873664,76.873664,76.873664
