Process_ID,Interval,Layer,Sv_mean,Good_samples,Samples_In_Domain
19,1,4,-65.466524,1,1
19,1,5,-70.142067,1,1
19,1,6,-74.832596,1,1
19,1,7,-85.172808,1,1
19,1,8,-92.236559,1,1
19,1,9,-100.747318,1,1
19,1,10,-106.575788,1,1
19,1,11,-109.212138,1,1
19,1,12,-110.365355,1,1
19,1,13,-101.102405,1,1
19,1,14,-85.402107,1,1
19,2,4,-66.263260,1,1
19,2,5,-73.232074,1,1
19,2,6,-75.485438,1,1
19,2,7,-80.403058,1,1
19,2,8,-73.947682,1,1
19,2,9,-103.368229,1,1
19,2,10,-105.299274,1,1
19,2,11,-109.571350,1,1
19,2,12,-108.076887,1,1
19,2,13,-100.821239,1,1
19,2,14,-69.815654,1,1
19,3,4,-64.829736,1,1
19,3,5,-72.839418,1,1
19,3,6,-72.944843,1,1
19,3,7,-76.904673,1,1
19,3,8,-90.409931,1,1
19,3,9,-101.127565,1,1
19,3,10,-108.413896,1,1
19,3,11,-111.029800,1,1
19,3,12,-111.428877,1,1
19,3,13,-96.868132,1,1
19,3,14,-53.411907,1,1
19,4,4,-63.860389,1,1
19,4,5,-67.676414,1,1
19,4,6,-72.843460,1,1
19,4,7,-80.040548,1,1
19,4,8,-88.284804,1,1
19,4,9,-103.042673,1,1
19,4,10,-108.463520,1,1
19,4,11,-104.912592,1,1
19,4,12,-110.348369,1,1
19,4,13,-102.315794,1,1
19,4,14,-79.711874,1,1
19,5,4,-65.654848,1,1
19,5,5,-67.438911,1,1
19,5,6,-73.344976,1,1
19,5,7,-80.495875,1,1
19,5,8,-95.880876,1,1
19,5,9,-105.459493,1,1
19,5,10,-110.007031,1,1
19,5,11,-111.172866,1,1
19,5,12,-107.499699,1,1
19,5,13,-99.045810,1,1
19,5,14,-97.164138,1,1
19,6,4,-62.833608,1,1
19,6,5,-70.605913,1,1
19,6,6,-70.256888,1,1
19,6,7,-79.575827,1,1
19,6,8,-93.211006,1,1
19,6,9,-105.936877,1,1
19,6,10,-108.788806,1,1
19,6,11,-111.933715,1,1
19,6,12,-106.393554,1,1
19,6,13,-100.225563,1,1
19,6,14,-61.223562,1,1
19,7,4,-61.102572,1,1
19,7,5,-66.429447,1,1
19,7,6,-69.844702,1,1
19,7,7,-78.370358,1,1
19,7,8,-86.484465,1,1
19,7,9,-78.243137,1,1
19,7,10,-106.155245,1,1
19,7,11,-106.914804,1,1
19,7,12,-60.907812,1,1
19,7,13,-98.741992,1,1
19,7,14,-96.810021,1,1
19,8,4,-62.954978,1,1
19,8,5,-66.516429,1,1
19,8,6,-72.322542,1,1
19,8,7,-82.654395,1,1
19,8,8,-87.820296,1,1
19,8,9,-94.636216,1,1
19,8,10,-94.551734,1,1
19,8,11,-107.750752,1,1
19,8,12,-82.338106,1,1
19,8,13,-94.440358,1,1
19,8,14,-87.147366,1,1
19,9,4,-64.968770,1,1
19,9,5,-68.733273,1,1
19,9,6,-71.223660,1,1
19,9,7,-82.924491,1,1
19,9,8,-87.743303,1,1
19,9,9,-107.806875,1,1
19,9,10,-111.770162,1,1
19,9,11,-112.179318,1,1
19,9,12,-109.958467,1,1
19,9,13,-101.798928,1,1
19,9,14,-71.924938,1,1
19,10,4,-64.767850,1,1
19,10,5,-63.684612,1,1
19,10,6,-71.651369,1,1
19,10,7,-76.697635,1,1
19,10,8,-90.023392,1,1
19,10,9,-107.633390,1,1
19,10,10,-102.668813,1,1
19,10,11,-104.885952,1,1
19,10,12,-108.123845,1,1
19,10,13,-103.560632,1,1
19,10,14,-59.004233,1,1
19,11,4,-61.724884,1,1
19,11,5,-63.448184,1,1
19,11,6,-74.883790,1,1
19,11,7,-77.784065,1,1
19,11,8,-94.263406,1,1
19,11,9,-107.129405,1,1
19,11,10,-110.062858,1,1
19,11,11,-82.821943,1,1
19,11,12,-102.737374,1,1
19,11,13,-102.765453,1,1
19,11,14,-63.785316,1,1
19,12,4,-61.166303,1,1
19,12,5,-60.710450,1,1
19,12,6,-73.957899,1,1
19,12,7,-79.494157,1,1
19,12,8,-82.321707,1,1
19,12,9,-107.354976,1,1
19,12,10,-105.858738,1,1
19,12,11,-103.645268,1,1
19,12,12,-105.639940,1,1
19,12,13,-101.409274,1,1
19,12,14,-69.914836,1,1
19,13,4,-61.247546,1,1
19,13,5,-58.856303,1,1
19,13,6,-73.140315,1,1
19,13,7,-79.922077,1,1
19,13,8,-86.148686,1,1
19,13,9,-96.708128,1,1
19,13,10,-102.760993,1,1
19,13,11,-97.048380,1,1
19,13,12,-108.200225,1,1
19,13,13,-104.282154,1,1
19,13,14,-56.416137,1,1
19,14,4,-60.486223,1,1
19,14,5,-59.216590,1,1
19,14,6,-69.999661,1,1
19,14,7,-84.290407,1,1
19,14,8,-92.197429,1,1
19,14,9,-85.085887,1,1
19,14,10,-109.821891,1,1
19,14,11,-105.747357,1,1
19,14,12,-107.752896,1,1
19,14,13,-69.799172,1,1
19,14,14,-53.969661,1,1
19,15,4,-59.986883,1,1
19,15,5,-59.381243,1,1
19,15,6,-70.325929,1,1
19,15,7,-91.547665,1,1
19,15,8,-90.581740,1,1
19,15,9,-105.140804,1,1
19,15,10,-108.599429,1,1
19,15,11,-107.977782,1,1
19,15,12,-104.844177,1,1
19,15,13,-91.696996,1,1
19,15,14,-51.135934,1,1
19,16,4,-60.369645,1,1
19,16,5,-60.258943,1,1
19,16,6,-70.207563,1,1
19,16,7,-84.573442,1,1
19,16,8,-85.143025,1,1
19,16,9,-107.596260,1,1
19,16,10,-102.937631,1,1
19,16,11,-109.538067,1,1
19,16,12,-106.921853,1,1
19,16,13,-102.934108,1,1
19,16,14,-79.168779,1,1
19,17,4,-61.005394,1,1
19,17,5,-61.890816,1,1
19,17,6,-73.242182,1,1
19,17,7,-86.562762,1,1
19,17,8,-85.094690,1,1
19,17,9,-103.983175,1,1
19,17,10,-106.948387,1,1
19,17,11,-109.140975,1,1
19,17,12,-102.768962,1,1
19,17,13,-101.447130,1,1
19,17,14,-82.015581,1,1
19,18,4,-59.712283,1,1
19,18,5,-60.867815,1,1
19,18,6,-70.451630,1,1
19,18,7,-85.796106,1,1
19,18,8,-55.762705,1,1
19,18,9,-106.268009,1,1
19,18,10,-101.745012,1,1
19,18,11,-110.249428,1,1
19,18,12,-108.457093,1,1
19,18,13,-101.572588,1,1
19,18,14,-54.728286,1,1
19,19,4,-63.370082,1,1
19,19,5,-63.277770,1,1
19,19,6,-71.703401,1,1
19,19,7,-86.946201,1,1
19,19,8,-92.871805,1,1
19,19,9,-106.854684,1,1
19,19,10,-89.202833,1,1
19,19,11,-108.449523,1,1
19,19,12,-109.754424,1,1
19,19,13,-103.519759,1,1
19,19,14,-68.262944,1,1
19,20,4,-58.786610,1,1
19,20,5,-63.645337,1,1
19,20,6,-72.704960,1,1
19,20,7,-83.570610,1,1
19,20,8,-91.640888,1,1
19,20,9,-103.874432,1,1
19,20,10,-110.525089,1,1
19,20,11,-108.794384,1,1
19,20,12,-104.201088,1,1
19,20,13,-101.890589,1,1
19,20,14,-59.159429,1,1
19,21,4,-59.242994,1,1
19,21,5,-63.951464,1,1
19,21,6,-74.154810,1,1
19,21,7,-82.661729,1,1
19,21,8,-94.282582,1,1
19,21,9,-70.620538,1,1
19,21,10,-107.310992,1,1
19,21,11,-109.248679,1,1
19,21,12,-109.068755,1,1
19,21,13,-102.958293,1,1
19,21,14,-92.109576,1,1
19,22,4,-59.590605,1,1
19,22,5,-66.355878,1,1
19,22,6,-78.429830,1,1
19,22,7,-82.549108,1,1
19,22,8,-93.313919,1,1
19,22,9,-109.432295,1,1
19,22,10,-105.994522,1,1
19,22,11,-102.631729,1,1
19,22,12,-86.512790,1,1
19,22,13,-103.955303,1,1
19,22,14,-75.392786,1,1
19,23,4,-60.419669,1,1
19,23,5,-62.815297,1,1
19,23,6,-75.616935,1,1
19,23,7,-87.499819,1,1
19,23,8,-92.332282,1,1
19,23,9,-105.294380,1,1
19,23,10,-59.459488,1,1
19,23,11,-102.978366,1,1
19,23,12,-106.383346,1,1
19,23,13,-100.470233,1,1
19,23,14,-76.182319,1,1
19,24,4,-60.130686,1,1
19,24,5,-61.469990,1,1
19,24,6,-74.958166,1,1
19,24,7,-85.745404,1,1
19,24,8,-94.190678,1,1
19,24,9,-107.442920,1,1
19,24,10,-80.000796,1,1
19,24,11,-108.203585,1,1
19,24,12,-85.408555,1,1
19,24,13,-82.754246,1,1
19,24,14,-68.884360,1,1
19,25,4,-61.836994,1,1
19,25,5,-63.399830,1,1
19,25,6,-77.065551,1,1
19,25,7,-73.888684,1,1
19,25,8,-94.739860,1,1
19,25,9,-108.760054,1,1
19,25,10,-108.623334,1,1
19,25,11,-107.831711,1,1
19,25,12,-110.395496,1,1
19,25,13,-104.089259,1,1
19,25,14,-84.225395,1,1
19,26,4,-60.466657,1,1
19,26,5,-64.740608,1,1
19,26,6,-73.072720,1,1
19,26,7,-92.542326,1,1
19,26,8,-96.696532,1,1
19,26,9,-106.584751,1,1
19,26,10,-110.594254,1,1
19,26,11,-110.638065,1,1
19,26,12,-110.405618,1,1
19,26,13,-105.606502,1,1
19,26,14,-64.654651,1,1
19,27,4,-58.381276,1,1
19,27,5,-63.268672,1,1
19,27,6,-73.869055,1,1
19,27,7,-84.320634,1,1
19,27,8,-92.708380,1,1
19,27,9,-109.362354,1,1
19,27,10,-93.665708,1,1
19,27,11,-108.046286,1,1
19,27,12,-78.472179,1,1
19,27,13,-103.992088,1,1
19,27,14,-65.899628,1,1
19,28,4,-60.016797,1,1
19,28,5,-62.641912,1,1
19,28,6,-74.424951,1,1
19,28,7,-86.211243,1,1
19,28,8,-84.158102,1,1
19,28,9,-105.292628,1,1
19,28,10,-97.484638,1,1
19,28,11,-111.013001,1,1
19,28,12,-108.977984,1,1
19,28,13,-104.990587,1,1
19,28,14,-81.628876,1,1
19,29,4,-59.361320,1,1
19,29,5,-62.271931,1,1
19,29,6,-69.769666,1,1
19,29,7,-82.587058,1,1
19,29,8,-81.565821,1,1
19,29,9,-107.227924,1,1
19,29,10,-81.685335,1,1
19,29,11,-72.668295,1,1
19,29,12,-107.885502,1,1
19,29,13,-100.971258,1,1
19,29,14,-75.777031,1,1
19,30,4,-58.320814,1,1
19,30,5,-60.164368,1,1
19,30,6,-67.631840,1,1
19,30,7,-74.465035,1,1
19,30,8,-74.005914,1,1
19,30,9,-100.484109,1,1
19,30,10,-108.335595,1,1
19,30,11,-101.779895,1,1
19,30,12,-105.359267,1,1
19,30,13,-104.868328,1,1
19,30,14,-73.095209,1,1
19,31,4,-59.638748,1,1
19,31,5,-59.501063,1,1
19,31,6,-68.308848,1,1
19,31,7,-80.254074,1,1
19,31,8,-82.587845,1,1
19,31,9,-107.933806,1,1
19,31,10,-109.161809,1,1
19,31,11,-110.635223,1,1
19,31,12,-109.391062,1,1
19,31,13,-101.566981,1,1
19,31,14,-55.735679,1,1
19,32,4,-57.369932,1,1
19,32,5,-59.043630,1,1
19,32,6,-67.757094,1,1
19,32,7,-79.376086,1,1
19,32,8,-83.607594,1,1
19,32,9,-106.649446,1,1
19,32,10,-104.917656,1,1
19,32,11,-109.814075,1,1
19,32,12,-107.505432,1,1
19,32,13,-101.647698,1,1
19,32,14,-99.743839,1,1
19,33,4,-59.671965,1,1
19,33,5,-59.959521,1,1
19,33,6,-69.284652,1,1
19,33,7,-79.093472,1,1
19,33,8,-88.607264,1,1
19,33,9,-99.869019,1,1
19,33,10,-106.996891,1,1
19,33,11,-108.104362,1,1
19,33,12,-102.424799,1,1
19,33,13,-104.692293,1,1
19,33,14,-98.416281,1,1
19,34,4,-59.015213,1,1
19,34,5,-60.745326,1,1
19,34,6,-67.867636,1,1
19,34,7,-81.602063,1,1
19,34,8,-88.285013,1,1
19,34,9,-103.172615,1,1
19,34,10,-108.888285,1,1
19,34,11,-106.224262,1,1
19,34,12,-107.401936,1,1
19,34,13,-103.109866,1,1
19,34,14,-54.260151,1,1
19,35,4,-61.796082,1,1
19,35,5,-63.342452,1,1
19,35,6,-70.385226,1,1
19,35,7,-86.469932,1,1
19,35,8,-88.103390,1,1
19,35,9,-100.482610,1,1
