Process_ID,Layer,Layer_depth_min,Layer_depth_max,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_bottom_to_reference_line_depth
19,2,5.000000,10.000000,"Surface (depth of zero)",5.000000,10.000000
19,3,10.000000,15.000000,"Surface (depth of zero)",10.000000,15.000000
19,4,15.000000,20.000000,"Surface (depth of zero)",15.000000,20.000000
19,5,20.000000,25.000000,"Surface (depth of zero)",20.000000,25.000000
19,6,25.000000,30.000000,"Surface (depth of zero)",25.000000,30.000000
19,7,30.000000,35.000000,"Surface (depth of zero)",30.000000,35.000000
19,8,35.000000,40.000000,"Surface (depth of zero)",35.000000,40.000000
19,9,40.000000,45.000000,"Surface (depth of zero)",40.000000,45.000000
19,10,45.000000,50.000000,"Surface (depth of zero)",45.000000,50.000000
19,11,50.000000,55.000000,"Surface (depth of zero)",50.000000,55.000000
19,12,55.000000,60.000000,"Surface (depth of zero)",55.000000,60.000000
19,13,60.000000,65.000000,"Surface (depth of zero)",60.000000,65.000000
19,14,65.000000,70.000000,"Surface (depth of zero)",65.000000,70.000000
19,15,70.000000,75.000000,"Surface (depth of zero)",70.000000,75.000000
19,16,75.000000,80.000000,"Surface (depth of zero)",75.000000,80.000000
19,17,80.000000,85.000000,"Surface (depth of zero)",80.000000,85.000000
19,18,85.000000,90.000000,"Surface (depth of zero)",85.000000,90.000000
19,19,90.000000,95.000000,"Surface (depth of zero)",90.000000,95.000000
19,20,95.000000,100.000000,"Surface (depth of zero)",95.000000,100.000000
19,21,100.000000,105.000000,"Surface (depth of zero)",100.000000,105.000000
19,22,105.000000,110.000000,"Surface (depth of zero)",105.000000,110.000000
19,23,110.000000,115.000000,"Surface (depth of zero)",110.000000,115.000000
19,24,115.000000,120.000000,"Surface (depth of zero)",115.000000,120.000000
19,25,120.000000,125.000000,"Surface (depth of zero)",120.000000,125.000000
19,26,125.000000,130.000000,"Surface (depth of zero)",125.000000,130.000000
19,27,130.000000,135.000000,"Surface (depth of zero)",130.000000,135.000000
19,28,135.000000,140.000000,"Surface (depth of zero)",135.000000,140.000000
19,29,140.000000,145.000000,"Surface (depth of zero)",140.000000,145.000000
19,30,145.000000,150.000000,"Surface (depth of zero)",145.000000,150.000000
19,31,150.000000,155.000000,"Surface (depth of zero)",150.000000,155.000000
19,32,155.000000,160.000000,"Surface (depth of zero)",155.000000,160.000000
19,33,160.000000,165.000000,"Surface (depth of zero)",160.000000,165.000000
19,34,165.000000,170.000000,"Surface (depth of zero)",165.000000,170.000000
19,35,170.000000,175.000000,"Surface (depth of zero)",170.000000,175.000000
19,36,175.000000,180.000000,"Surface (depth of zero)",175.000000,180.000000
19,37,180.000000,185.000000,"Surface (depth of zero)",180.000000,185.000000
19,38,185.000000,190.000000,"Surface (depth of zero)",185.000000,190.000000
19,39,190.000000,195.000000,"Surface (depth of zero)",190.000000,195.000000
19,40,195.000000,200.000000,"Surface (depth of zero)",195.000000,200.000000
19,41,200.000000,205.000000,"Surface (depth of zero)",200.000000,205.000000
19,42,205.000000,210.000000,"Surface (depth of zero)",205.000000,210.000000
19,43,210.000000,215.000000,"Surface (depth of zero)",210.000000,215.000000
19,44,215.000000,220.000000,"Surface (depth of zero)",215.000000,220.000000
19,45,220.000000,225.000000,"Surface (depth of zero)",220.000000,225.000000
19,46,225.000000,230.000000,"Surface (depth of zero)",225.000000,230.000000
19,47,230.000000,235.000000,"Surface (depth of zero)",230.000000,235.000000
19,48,235.000000,240.000000,"Surface (depth of zero)",235.000000,240.000000
